EmployeeID,FirstName,LastName,DeptNo,JobTitle,Salary,HireDate
101,Michael,Wilson,10,Sales Manager,98396,2021-01-17
102,Jane,Taylor,50,Financial Analyst,92116,2022-06-19
103,Michael,Hall,60,Customer Support,91359,2020-01-14
104,Linda,Taylor,50,Financial Analyst,50229,2019-07-26
105,Michael,Doe,60,Customer Support,84321,2020-11-04
106,Emily,Brown,60,Customer Support,83619,2020-05-15
107,Sarah,Jones,50,Accountant,86274,2021-11-19
108,Peter,Davis,50,Accountant,52380,2018-09-25
109,Michael,Jones,50,Financial Analyst,88608,2021-08-06
110,Karen,Brown,50,Accountant,70811,2019-10-22
111,Peter,Doe,40,Recruiter,90803,2022-05-03
112,Robert,Davis,30,Software Engineer,92989,2021-08-27
113,John,Moore,30,Systems Analyst,62000,2023-12-22
114,Linda,Hall,20,Marketing Coordinator,79333,2019-07-05
115,Peter,Jones,10,Sales Executive,87627,2019-07-09
116,Emily,Jones,30,Software Engineer,53196,2021-03-22
117,John,Jones,10,Sales Manager,74212,2020-10-22
118,Peter,Smith,60,Customer Support,99157,2021-02-17
119,David,Brown,20,Marketing Coordinator,74429,2021-03-04
120,David,Doe,50,Financial Analyst,68177,2019-06-07
